City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,college,64.8569,-147.8028,-14.01,78,75,0.0,US,1675828551
84,severo-kurilsk,50.6789,156.125,-4.35,70,20,4.12,RU,1675828552
85,port elizabeth,-33.918,25.5701,19.62,90,0,3.6,ZA,1675828552
86,beringovskiy,63.05,179.3167,-28.98,95,69,3.45,RU,1675828552
87,geraldton,-28.7667,114.6,33.23,35,0,3.6,AU,1675828524
88,nueva guinea,11.6876,-84.4562,20.74,98,56,3.18,NI,1675828553
89,mount isa,-20.7333,139.5,32.87,49,100,3.6,AU,1675828553
90,husavik,66.0449,-17.3389,-4.83,73,87,7.83,IS,1675828389
91,fortuna,40.5982,-124.1573,9.51,86,100,0.0,US,1675828554
92,sakaraha,-22.9,44.5333,20.67,88,100,1.73,MG,1675828554
93,nemuro,43.3236,145.575,-3.24,57,25,1.34,JP,1675828554
94,kaitangata,-46.2817,169.8464,14.92,49,21,6.62,NZ,1675828555
95,mataura,-46.1927,168.8643,14.21,52,57,5.35,NZ,1675828555
96,lloydminster,53.2835,-110.0016,-0.88,80,100,4.63,CA,1675828537
97,port alfred,-33.5906,26.891,20.1,91,100,1.34,ZA,1675828555
98,namatanai,-3.6667,152.4333,29.76,64,90,4.76,PG,1675828556
99,rong kwang,18.339,100.3174,24.71,20,3,2.02,TH,1675828556
100,lasa,46.6166,10.7002,-4.51,79,34,0.53,IT,1675828557
101,provideniya,64.3833,-173.3,-19.94,71,100,3.0,RU,1675828557
102,rio grande,-32.035,-52.0986,23.34,72,0,6.68,BR,1675828557
103,isangel,-19.55,169.2667,27.5,76,94,1.18,VU,1675828368
104,hithadhoo,-0.6,73.0833,27.37,73,13,3.16,MV,1675828558
105,jamestown,42.097,-79.2353,2.8,95,100,6.17,US,1675828263
106,lebu,-37.6167,-73.65,14.8,88,0,7.74,CL,1675828338
107,whitianga,-36.8333,175.7,22.75,62,71,5.07,NZ,1675828558
108,saskylakh,71.9167,114.0833,-33.95,100,100,0.53,RU,1675828559
109,henties bay,-22.116,14.2845,17.81,91,51,2.26,NA,1675828559
110,cape town,-33.9258,18.4232,21.06,76,20,5.81,ZA,1675828266
111,kihei,20.785,-156.4656,25.01,79,40,9.77,US,1675828559
112,shizunai,42.3339,142.3669,-1.67,55,92,4.67,JP,1675828560
113,teguise,29.0605,-13.564,13.12,72,0,0.51,ES,1675828560
114,nanortalik,60.1432,-45.2371,-15.45,75,11,7.06,GL,1675828561
115,talnakh,69.4865,88.3972,-23.53,98,97,3.09,RU,1675828561
116,khash,28.2211,61.2158,13.27,47,42,5.19,IR,1675828562
117,ancud,-41.8697,-73.8203,12.96,95,2,1.9,CL,1675828562
118,nantucket,41.2835,-70.0995,2.06,82,75,6.17,US,1675828344
119,teya,60.3778,92.6267,-10.4,93,100,2.19,RU,1675828563
120,taltal,-25.4,-70.4833,20.86,82,9,1.25,CL,1675828564
121,tondano,1.3038,124.9112,20.05,96,100,1.24,ID,1675828565
122,khatanga,71.9667,102.5,-43.9,100,63,1.4,RU,1675828565
123,gizo,-8.103,156.8419,28.99,74,100,5.48,SB,1675828566
124,kosh-agach,50.0,88.6667,-20.14,89,100,0.42,RU,1675828567
125,mabaruma,8.2,-59.7833,21.63,99,25,1.02,GY,1675828567
126,borovoy,55.4333,86.0833,-15.4,92,75,2.0,RU,1675828568
127,norwalk,33.9022,-118.0817,17.02,56,0,2.06,US,1675828569
128,chokwe,-24.5333,32.9833,22.63,96,70,0.74,MZ,1675828569
129,trat,12.5,102.5,32.17,59,93,0.45,TH,1675828570
130,gambo,4.6482,22.2633,17.54,28,30,0.78,CF,1675828571
131,harper,4.375,-7.7169,25.85,85,91,2.97,LR,1675828571
132,nuuk,64.1835,-51.7216,-13.02,94,100,4.87,GL,1675828562
133,ferrandina,40.5012,16.4547,-2.19,78,73,3.46,IT,1675828572
134,nikolskoye,59.7035,30.7861,-1.06,86,100,4.34,RU,1675828364
135,murmino,54.6036,40.0544,-12.59,97,76,2.21,RU,1675828573
136,deputatskiy,69.3,139.9,-41.27,98,51,1.56,RU,1675828574
137,tasiilaq,65.6145,-37.6368,-17.91,42,0,9.77,GL,1675828376
138,hofn,64.2539,-15.2082,-0.21,61,100,7.24,IS,1675828575
139,upernavik,72.7868,-56.1549,-30.59,95,47,1.81,GL,1675828553
140,castro,-24.7911,-50.0119,16.06,96,53,2.2,BR,1675828577
141,arraial do cabo,-22.9661,-42.0278,23.7,92,100,2.26,BR,1675828360
142,adre,13.4667,22.2,16.48,29,67,9.15,TD,1675828577
143,dhidhdhoo,6.8833,73.1,26.86,73,67,4.49,MV,1675828578
144,tari,12.4086,4.4914,22.15,18,99,5.08,NG,1675828579
145,berlevag,70.8578,29.0864,1.97,55,44,10.8,NO,1675828579
146,tigil,57.8,158.6667,-20.37,92,100,4.43,RU,1675828580
147,guru har sahai,30.7167,74.4167,16.6,30,35,2.29,IN,1675828580
148,airai,-8.9266,125.4092,20.94,80,82,1.58,TL,1675828581
149,shenjiamen,29.9576,122.298,9.82,76,94,5.37,CN,1675828582
150,bengkulu,-3.8004,102.2655,29.4,55,74,3.85,ID,1675828582
151,merauke,-8.4667,140.3333,27.96,82,88,6.92,ID,1675828583
152,mar del plata,-38.0023,-57.5575,23.38,96,100,7.15,AR,1675828583
153,rawson,-43.3002,-65.1023,18.26,59,1,2.11,AR,1675828584
154,hamilton,39.1834,-84.5333,10.69,91,100,3.09,US,1675828493
155,ribeira grande,38.5167,-28.7,13.21,65,45,2.24,PT,1675828336
156,kachug,53.9606,105.8817,-14.41,92,100,0.91,RU,1675828586
157,kaiu,59.0129,25.0551,0.98,92,100,4.98,EE,1675828586
158,ahuimanu,21.4447,-157.8378,26.84,80,40,7.2,US,1675828587
159,bakchar,57.0186,82.0711,-16.27,95,87,2.04,RU,1675828587
160,lavrentiya,65.5833,-171.0,-26.28,92,97,1.46,RU,1675828450
161,palembang,-2.9167,104.7458,29.05,79,75,3.09,ID,1675828588
162,namibe,-15.1961,12.1522,20.72,77,95,2.55,AO,1675828588
163,tuatapere,-46.1333,167.6833,12.59,67,59,7.16,NZ,1675828589
164,mahajanga,-15.7167,46.3167,24.01,94,20,2.06,MG,1675828589
165,cap-aux-meules,47.3821,-61.8597,-3.99,74,40,8.23,CA,1675828590
166,chuy,-33.6971,-53.4616,20.37,84,14,2.78,UY,1675828590
167,praia da vitoria,38.7333,-27.0667,13.14,76,75,5.44,PT,1675828591
168,tabas,33.5959,56.9244,8.12,81,3,1.03,IR,1675828591
169,comodoro rivadavia,-45.8667,-67.5,16.92,39,0,1.54,AR,1675828592
170,carnarvon,-24.8667,113.6333,30.36,49,3,6.56,AU,1675828593
171,lorengau,-2.0226,147.2712,25.99,91,100,9.71,PG,1675828593
172,laramie,41.3114,-105.5911,-4.47,83,0,3.6,US,1675828527
173,sapozhok,53.9419,40.6806,-13.82,99,77,1.62,RU,1675828594
174,smithers,54.7804,-127.1743,-2.82,93,75,3.09,CA,1675828595
175,ishigaki,24.3448,124.1572,23.07,73,75,6.17,JP,1675828309
176,hasaki,35.7333,140.8333,11.22,70,100,9.41,JP,1675828595
177,eureka,40.8021,-124.1637,9.82,88,98,0.45,US,1675828500
178,sabang,5.8933,95.3214,27.61,74,100,6.68,ID,1675828596
179,nouadhibou,20.931,-17.0347,16.0,69,0,9.6,MR,1675828597
180,mwinilunga,-11.7358,24.4293,15.72,98,100,1.89,ZM,1675828598
181,madingou,-4.1536,13.55,22.83,95,100,0.5,CG,1675828598
182,silver city,32.7701,-108.2803,-1.84,88,0,2.57,US,1675828316
183,esmeralda,21.8525,-78.1169,23.26,78,20,5.97,CU,1675828599
184,katsuura,35.1333,140.3,10.21,68,97,8.39,JP,1675828599
185,aklavik,68.2191,-135.0107,-28.96,96,100,3.53,CA,1675828306
186,ammon,43.4696,-111.9666,-5.27,91,20,0.89,US,1675828600
187,wanning,18.8003,110.3967,25.35,76,32,3.71,CN,1675828600
188,kyabe,9.4515,18.9449,23.09,18,7,2.37,TD,1675828601
189,santa rosa,14.3122,121.1114,30.61,67,100,6.45,PH,1675828601
190,san juan de colon,8.0313,-72.2605,21.77,86,12,1.89,VE,1675828601
191,skjervoy,70.0311,20.9714,4.0,66,47,8.31,NO,1675828602
192,northam,51.0333,-4.2167,3.12,91,0,3.11,GB,1675828602
193,manaure,11.7751,-72.4445,24.81,77,0,7.35,CO,1675828603
194,mitsamiouli,-11.3847,43.2844,27.34,78,100,4.58,KM,1675828494
195,grindavik,63.8424,-22.4338,-4.03,93,75,12.86,IS,1675828603
196,sawakin,19.1059,37.3321,19.99,59,90,5.37,SD,1675828604
197,biak,-0.9131,122.8766,25.62,79,100,3.16,ID,1675828604
198,kununurra,-15.7667,128.7333,36.99,44,4,3.6,AU,1675828605
199,ribeira brava,32.65,-17.0667,15.35,64,26,3.25,PT,1675828605
200,coihaique,-45.5752,-72.0662,16.34,72,75,1.54,CL,1675828399
201,penzance,50.1186,-5.5371,1.38,73,1,6.09,GB,1675828606
202,sao filipe,14.8961,-24.4956,20.04,69,25,4.6,CV,1675828580
203,aswan,24.0934,32.907,8.61,49,0,1.54,EG,1675828606
204,herat,34.5,62.0,10.0,67,90,3.3,AF,1675828607
205,caravelas,-17.7125,-39.2481,24.59,84,28,2.86,BR,1675828607
206,shubarkuduk,49.1447,56.4872,-15.51,91,9,5.99,KZ,1675828608
207,san cristobal,7.7669,-72.225,21.1,78,12,0.74,VE,1675828406
208,kieta,-6.2167,155.6333,29.81,66,35,3.74,PG,1675828608
209,umea,63.8284,20.2597,-10.04,85,20,1.03,SE,1675828609
210,amapa,1.0,-52.0,22.16,99,100,1.06,BR,1675828490
211,evensk,61.95,159.2333,-26.98,78,54,2.97,RU,1675828609
212,varkkallai,8.7341,76.7067,27.88,59,35,0.85,IN,1675828610
213,cidreira,-30.1811,-50.2056,23.95,82,7,6.2,BR,1675828610
214,luderitz,-26.6481,15.1594,18.2,83,17,8.17,NA,1675828366
215,vestmannaeyjar,63.4427,-20.2734,-0.27,65,100,16.07,IS,1675828611
216,cherskiy,68.75,161.3,-32.86,95,100,2.49,RU,1675828406
217,tlacotepec,20.0667,-97.8667,15.23,50,1,2.75,MX,1675828611
218,gat,31.61,34.7642,9.49,100,44,6.11,IL,1675828612
